len_TFBS,generate_data,pfam_name
7,RP,bZIP_1
7,RP,GATA
7,RP,HLH
7,RP,SBP
7,RP,zf-Dof
7,RW,bZIP_1
7,RW,GATA
7,RW,HLH
7,RW,SBP
7,RW,zf-C2H2
7,RW,zf-Dof
8,RP,AP2
8,RP,AT_hook
8,RP,B3
8,RP,bZIP_1
8,RP,CSD
8,RP,DUF573
8,RP,EIN3
8,RP,GATA
8,RP,HLH
8,RP,Homeobox
8,RP,MADF_DNA_bdg
8,RP,Myb_DNA-binding
8,RP,NAM
8,RP,SBP
8,RP,TCP
8,RP,WRKY
8,RP,zf-C2H2
8,RP,zf-Dof
8,RW,AP2
8,RW,AT_hook
8,RW,B3
8,RW,bZIP_1
8,RW,DUF573
8,RW,EIN3
8,RW,GATA
8,RW,HLH
8,RW,Homeobox
8,RW,MADF_DNA_bdg
8,RW,Myb_DNA-binding
8,RW,NAM
8,RW,SBP
8,RW,TCP
8,RW,WRKY
8,RW,zf-C2H2
8,RW,zf-Dof
9,RP,AP2
9,RP,AT_hook
9,RP,B3
9,RP,bZIP_1
9,RP,CG-1
9,RP,DUF573
9,RP,EIN3
9,RP,GATA
9,RP,GRAS
9,RP,HLH
9,RP,HMG_box
9,RP,Homeobox
9,RP,Myb_DNA-binding
9,RP,NAM
9,RP,SBP
9,RP,TCP
9,RP,WRKY
9,RP,zf-Dof
9,RW,AP2
9,RW,B3
9,RW,bZIP_1
9,RW,CG-1
9,RW,DUF573
9,RW,EIN3
9,RW,GATA
9,RW,GRAS
9,RW,HLH
9,RW,HMG_box
9,RW,Homeobox
9,RW,Myb_DNA-binding
9,RW,NAM
9,RW,SBP
9,RW,TCP
9,RW,WRKY
9,RW,zf-Dof
10,RP,AP2
10,RP,B3
10,RP,bZIP_1
10,RP,DUF260
10,RP,DUF573
10,RP,E2F_TDP
10,RP,EIN3
10,RP,GATA
10,RP,HLH
10,RP,HMG_box
10,RP,Homeobox
10,RP,MADF_DNA_bdg
10,RP,Myb_DNA-binding
10,RP,NAM
10,RP,SBP
10,RP,TCP
10,RP,WRKY
10,RP,zf-Dof
10,RW,AP2
10,RW,B3
10,RW,bZIP_1
10,RW,DUF260
10,RW,DUF573
10,RW,E2F_TDP
10,RW,EIN3
10,RW,GATA
10,RW,HLH
10,RW,HMG_box
10,RW,Homeobox
10,RW,MADF_DNA_bdg
10,RW,Myb_DNA-binding
10,RW,NAM
10,RW,SBP
10,RW,TCP
10,RW,WRKY
10,RW,zf-Dof
11,RP,B3
11,RP,bZIP_1
11,RP,DUF822
11,RP,EIN3
11,RP,GATA
11,RP,Homeobox
11,RP,Myb_DNA-binding
11,RP,NAM
11,RP,SRF-TF
11,RP,WRKY
11,RP,zf-Dof
11,RW,B3
11,RW,bZIP_1
11,RW,DUF822
11,RW,EIN3
11,RW,GATA
11,RW,Homeobox
11,RW,Myb_DNA-binding
11,RW,NAM
11,RW,SRF-TF
11,RW,WRKY
11,RW,zf-Dof
12,RP,bZIP_1
12,RP,FAR1
12,RP,HLH
12,RP,Homeobox
12,RP,SBP
12,RW,bZIP_1
12,RW,FAR1
12,RW,HLH
12,RW,Homeobox
12,RW,NAM
12,RW,SBP
13,RP,AP2
13,RP,bZIP_1
13,RP,Homeobox
13,RP,MADF_DNA_bdg
13,RP,Myb_DNA-binding
13,RW,AP2
13,RW,bZIP_1
13,RW,Homeobox
13,RW,MADF_DNA_bdg
13,RW,Myb_DNA-binding
14,RP,HLH
14,RP,Homeobox
14,RP,SRF-TF
14,RW,DUF822
14,RW,HLH
14,RW,Homeobox
14,RW,SRF-TF
15,RW,SRF-TF
